run,rewards,policy
0,266.8497183392451,"{'1': [1.0, 0.1], '2': [0.9, 0.9], '3': [1.0, 0.0], '4': [0.5, 0.8], '5': [0.0, 0.0]}"
1,,"{'1': [0.0, 0.7], '2': [0.6, 0.6], '3': [0.5, 0.4], '4': [0.6, 0.7], '5': [0.0, 0.0]}"
2,172.04850029697923,"{'1': [0.6, 0.2], '2': [0.0, 0.6], '3': [0.6, 0.4], '4': [0.1, 0.3], '5': [0.0, 0.0]}"
3,223.64577617599417,"{'1': [0.1, 0.5], '2': [0.3, 0.0], '3': [0.0, 0.8], '4': [1.0, 0.1], '5': [0.0, 0.0]}"
4,191.0836780760956,"{'1': [0.0, 0.7], '2': [0.3, 0.0], '3': [0.1, 0.9], '4': [0.7, 0.7], '5': [0.0, 0.0]}"
5,141.50612656195096,"{'1': [1.0, 0.5], '2': [0.5, 0.3], '3': [0.4, 0.8], '4': [0.1, 0.5], '5': [0.0, 0.0]}"
6,,"{'1': [0.1, 0.8], '2': [0.7, 0.0], '3': [0.4, 0.7], '4': [0.1, 0.5], '5': [0.0, 0.0]}"
7,,"{'1': [0.2, 0.9], '2': [0.0, 0.0], '3': [0.2, 0.8], '4': [1.0, 0.7], '5': [0.0, 0.0]}"
8,114.00790290111094,"{'1': [0.7, 1.0], '2': [0.0, 0.0], '3': [0.9, 0.5], '4': [0.1, 0.3], '5': [0.0, 0.0]}"
9,128.14382950624776,"{'1': [0.7, 0.2], '2': [0.0, 0.0], '3': [0.1, 0.2], '4': [1.0, 0.6], '5': [0.0, 0.0]}"
