run,rewards,policy
0,399.26526717925634,"{'0': [0.2, 1.0], '1': [0.2, 0.0], '2': [0.4, 0.3], '3': [0.8, 0.1], '4': [0.2, 0.7]}"
1,355.89909615926206,"{'0': [0.2, 1.0], '1': [0.7, 0.3], '2': [0.5, 1.0], '3': [0.5, 0.3], '4': [0.2, 0.7]}"
2,343.4174729684273,"{'0': [0.2, 1.0], '1': [0.1, 0.8], '2': [0.4, 0.3], '3': [0.6, 0.1], '4': [0.4, 0.5]}"
3,329.773759972882,"{'0': [0.2, 1.0], '1': [0.3, 0.5], '2': [0.5, 0.2], '3': [0.8, 0.9], '4': [0.4, 0.5]}"
4,348.5814715574273,"{'0': [0.2, 1.0], '1': [0.9, 1.0], '2': [0.5, 0.2], '3': [0.2, 0.5], '4': [0.2, 0.7]}"
5,396.2835279787866,"{'0': [0.2, 1.0], '1': [0.1, 0.1], '2': [0.4, 0.3], '3': [0.6, 0.2], '4': [0.2, 0.7]}"
6,369.007152371182,"{'0': [0.2, 1.0], '1': [0.1, 0.1], '2': [0.4, 0.3], '3': [0.1, 0.5], '4': [0.5, 0.5]}"
7,388.44986336968253,"{'0': [0.2, 1.0], '1': [0.2, 1.0], '2': [0.5, 0.2], '3': [1.0, 0.0], '4': [0.2, 0.7]}"
8,364.9641713682426,"{'0': [0.2, 1.0], '1': [0.2, 0.3], '2': [0.5, 0.2], '3': [0.6, 0.7], '4': [0.4, 0.5]}"
9,350.6024702537514,"{'0': [0.2, 1.0], '1': [1.0, 0.5], '2': [0.5, 0.2], '3': [0.3, 1.0], '4': [0.2, 0.7]}"
