run,rewards,policy
0,265.3534297,"{'1': [0.0, 0.06021277818271653], '2': [0.43718169506168064, 0.0], '3': [0.0, 1.0], '4': [1.0, 1.0], '5': [0.0, 0.4820726096998673]}"
1,94.57485994,"{'1': [0.0, 1.0], '2': [0.1328979001240307, 0.0], '3': [0.2860372227886659, 0.0], '4': [0.0, 1.0], '5': [0.28325715954701525, 0.0]}"
2,289.7516247,"{'1': [0.2318176791905071, 1.0], '2': [1.0, 0.7878167739646321], '3': [1.0, 0.9429053910804033], '4': [0.21498183441652996, 1.0], '5': [1.0, 1.0]}"
3,99.32491899,"{'1': [0.0, 1.0], '2': [0.0, 1.0], '3': [0.5816735452034367, 1.0], '4': [1.0, 0.0], '5': [1.0, 1.0]}"
4,236.5732933,"{'1': [0.342991991857053, 1.0], '2': [0.8414265083059602, 1.0], '3': [0.0, 1.0], '4': [1.0, 1.0], '5': [0.0, 1.0]}"
5,138.3894944,"{'1': [0.0, 1.0], '2': [0.0, 0.3541004173690635], '3': [0.0, 0.0], '4': [0.0, 1.0], '5': [0.0, 1.0]}"
6,188.238001,"{'1': [1.0, 0.0], '2': [0.8957212813407603, 0.0], '3': [1.0, 1.0], '4': [1.0, 1.0], '5': [0.0, 0.5102989020139718]}"
7,334.4521929,"{'1': [0.21333010675147662, 1.0], '2': [0.0, 0.0], '3': [0.0, 0.0], '4': [0.692622882678368, 0.0], '5': [0.47236572369831087, 1.0]}"
8,354.2473921,"{'1': [0.17660613570961356, 1.0], '2': [0.0, 0.0], '3': [0.0, 0.0], '4': [0.7019123090448192, 0.9077683409487878], '5': [0.0, 0.0]}"
9,295.7709786,"{'1': [0.18810737202457023, 1.0], '2': [0.0, 1.0], '3': [0.17461639811980312, 1.0], '4': [0.6574916353846727, 0.9551206330667154], '5': [0.6411474578370058, 1.0]}"
,250.9633615,
