run,rewards,policy
0,173.50778250293877,"{'1': [1.0, 0.0], '2': [0.0, 1.0], '3': [0.0, 0.0], '4': [0.0, 1.0], '5': [0.0, 0.5678570714398321]}"
1,225.91112248504,"{'1': [0.2606050003411699, 1.0], '2': [0.0, 1.0], '3': [0.0, 0.0], '4': [1.0, 0.025620248014795954], '5': [0.11422473082385867, 0.0]}"
2,125.04111245273836,"{'1': [0.0, 1.0], '2': [0.5468695773428041, 0.49078885599363486], '3': [1.0, 0.006672776553389603], '4': [1.0, 0.0], '5': [1.0, 1.0]}"
3,102.25858027077554,"{'1': [0.0, 1.0], '2': [1.0, 0.5873656377824072], '3': [0.0, 1.0], '4': [0.0, 0.0], '5': [1.0, 0.0]}"
4,260.3650105241008,"{'1': [1.0, 0.0], '2': [1.0, 1.0], '3': [0.0, 0.0], '4': [0.5566060431206015, 0.0], '5': [0.0, 0.4861433443197664]}"
5,209.06995138127402,"{'1': [0.0, 0.0], '2': [0.0, 1.0], '3': [0.0, 0.0], '4': [1.0, 0.0], '5': [0.0, 0.35895173165213284]}"
6,313.6432795490747,"{'1': [0.14065031677014916, 1.0], '2': [1.0, 0.9904249233184454], '3': [1.0, 0.7026443023980847], '4': [1.0, 1.0], '5': [1.0, 1.0]}"
7,115.47439042939114,"{'1': [0.0, 1.0], '2': [0.014478809764253808, 0.790649840488994], '3': [0.22478594720395856, 0.5047693509460469], '4': [0.0, 0.0], '5': [0.0, 0.2259865620367214]}"
8,125.7955307433076,"{'1': [0.0, 1.0], '2': [0.0, 1.0], '3': [0.0, 0.0], '4': [1.0, 1.0], '5': [0.0, 0.0]}"
9,239.1014942073026,"{'1': [0.0, 0.0], '2': [1.0, 0.0], '3': [0.0, 0.0], '4': [1.0, 0.0], '5': [0.11875702507578151, 0.507257903288664]}"
