run,rewards,policy
0,321.8415417,"{'1': [1.0, 0.0], '2': [0.0, 0.7365250398022084], '3': [0.41139502240926523, 0.19274914104380025], '4': [0.03608290638067968, 0.15849552998701016], '5': [1.0, 0.0]}"
1,238.6589526,"{'1': [0.7148862058717907, 0.0], '2': [0.2689336010676827, 0.0], '3': [0.0, 0.0], '4': [0.0, 1.0], '5': [1.0, 1.0]}"
2,346.6120193,"{'1': [1.0, 0.0], '2': [1.0, 0.20279152505896414], '3': [0.3664660878992091, 1.0], '4': [0.0, 1.0], '5': [1.0, 1.0]}"
3,271.8890032,"{'1': [1.0, 0.0], '2': [1.0, 1.0], '3': [1.0, 1.0], '4': [1.0, 0.0], '5': [1.0, 0.7381412042582042]}"
4,410.3011698,"{'1': [1.0, 0.0], '2': [1.0, 0.0], '3': [0.0, 1.0], '4': [1.0, 0.0], '5': [0.0, 1.0]}"
5,370.5763431,"{'1': [1.0, 0.0], '2': [0.0, 1.0], '3': [1.0, 0.19622295641160037], '4': [1.0, 0.02226618313476547], '5': [1.0, 1.0]}"
6,313.3137648,"{'1': [0.0, 1.0], '2': [1.0, 0.0], '3': [0.0, 0.22679294799922578], '4': [0.0, 0.18989410298455617], '5': [0.0, 0.7885645311735903]}"
7,330.6186908,"{'1': [0.31347819102117175, 0.9316968917588552], '2': [1.0, 0.0], '3': [0.0, 0.1883424263458246], '4': [1.0, 0.0], '5': [0.0, 1.0]}"
8,280.1355068,"{'1': [1.0, 0.0], '2': [1.0, 0.0], '3': [0.0, 0.0], '4': [0.9635782788490935, 0.0], '5': [0.0, 1.0]}"
9,345.0481927,"{'1': [0.028460903363771384, 0.9771019969825447], '2': [1.0, 0.0050846242546181974], '3': [1.0, 0.0], '4': [1.0, 0.8230944784516818], '5': [0.0, 1.0]}"
,326.2301163,
