run,rewards,policy
0,335.7310478818135,"{'1': [1.0, 0.0], '2': [1.0, 0.9266112349477206], '3': [1.0, 0.4400972661836955], '4': [0.0, 1.0], '5': [1.0, 1.0]}"
1,362.018812737299,"{'1': [0.0, 1.0], '2': [1.0, 0.0], '3': [1.0, 1.0], '4': [1.0, 0.0], '5': [0.0, 0.6782334936450308]}"
2,213.01177179771543,"{'1': [0.0574932745664248, 0.8525923995139378], '2': [0.5525830145711943, 0.0], '3': [0.0, 0.0], '4': [0.0, 1.0], '5': [0.28426205897741275, 0.0]}"
3,301.80661502862716,"{'1': [1.0, 0.0], '2': [1.0, 0.8957326395356741], '3': [0.0, 1.0], '4': [1.0, 1.0], '5': [0.432438843045794, 0.0]}"
4,280.37439547653855,"{'1': [0.0, 0.0], '2': [0.0, 1.0], '3': [0.0, 0.4447337499548263], '4': [1.0, 0.0890413011291169], '5': [1.0, 0.9025603760638765]}"
5,226.17763080637758,"{'1': [1.0, 1.0], '2': [0.6230563430169405, 0.0], '3': [0.0, 1.0], '4': [0.969993312427394, 0.4025359670021528], '5': [0.0, 0.6495322557407492]}"
6,360.45748568113964,"{'1': [1.0, 0.0], '2': [0.0, 1.0], '3': [0.8345079847883551, 0.0], '4': [1.0, 0.0], '5': [0.5995442779868482, 1.0]}"
7,387.67607495524607,"{'1': [0.0, 0.0], '2': [0.008214407787509925, 1.0], '3': [1.0, 0.0], '4': [0.0, 1.0], '5': [1.0, 1.0]}"
8,312.666721488691,"{'1': [0.0, 1.0], '2': [1.0, 1.0], '3': [0.8596021226939057, 0.323710957412486], '4': [0.07012516842344654, 0.0], '5': [0.0, 0.8064301578120229]}"
9,259.7576108775921,"{'1': [0.9817180626273402, 0.0], '2': [0.4684099364059875, 0.11809251509127966], '3': [1.0, 0.0], '4': [1.0, 0.761458649994148], '5': [0.0, 0.0]}"
