run,rewards,policy
0,485.8974229,"{'1': [0.2, 1.0], '2': [0.8813522602340806, 0.35503070639467715], '3': [1.0, 0.6055256336663593], '4': [1.0, 0.0], '5': [0.0, 0.32832972323713405]}"
1,394.3064464,"{'1': [0.2, 1.0], '2': [1.0, 0.0], '3': [0.0, 0.0], '4': [1.0, 0.0], '5': [0.0, 0.6503016238600954]}"
2,400.9855558,"{'1': [0.2, 1.0], '2': [0.0, 0.0], '3': [0.653506871467906, 0.06261253259345656], '4': [1.0, 1.0], '5': [0.0, 0.15742891479280782]}"
3,406.4746376,"{'1': [0.2, 1.0], '2': [0.0, 0.0], '3': [0.6838207432041964, 0.0], '4': [0.0, 1.0], '5': [0.0, 0.6590388137114835]}"
4,343.682814,"{'1': [0.2, 1.0], '2': [0.09711679069120316, 0.6630740898662297], '3': [0.0, 1.0], '4': [1.0, 0.0], '5': [0.0, 0.0]}"
5,339.7516031,"{'1': [0.2, 1.0], '2': [0.8616988805901994, 0.415734046732525], '3': [1.0, 0.0], '4': [1.0, 0.0], '5': [0.0, 0.0]}"
6,354.4966765,"{'1': [0.2, 1.0], '2': [0.04127065002051372, 1.0], '3': [0.1041564564929845, 0.0], '4': [0.01996285987704259, 0.23914432786429532], '5': [1.0, 1.0]}"
7,353.5985594,"{'1': [0.2, 1.0], '2': [1.0, 1.0], '3': [0.0, 0.4107685003180444], '4': [1.0, 0.43682724553449215], '5': [0.0, 0.0]}"
8,485.151187,"{'1': [0.2, 1.0], '2': [0.0, 0.0], '3': [1.0, 0.0], '4': [0.16650835953871548, 1.0], '5': [0.0, 0.4696832214033518]}"
9,476.3542518,"{'1': [0.2, 1.0], '2': [0.0, 0.4683418663322756], '3': [0.0, 0.3691783298037184], '4': [0.8798667183427811, 1.0], '5': [0.0, 0.2689133665291062]}"
,397.6460011,
