run,rewards,policy
0,360.5236309,"{'1': [0.2, 1.0], '2': [0.0, 0.0], '3': [0.0, 0.0], '4': [0.0, 0.0], '5': [0.0, 0.0]}"
1,350.0336561,"{'1': [0.2, 1.0], '2': [0.02421178224978418, 0.0], '3': [0.30527129069146186, 0.2757611021120916], '4': [0.0, 0.0], '5': [0.0, 0.0]}"
2,449.5901152,"{'1': [0.2, 1.0], '2': [0.0, 0.7201674380425664], '3': [0.0, 0.0], '4': [1.0, 0.0], '5': [0.0, 0.2611246108127474]}"
3,335.9108376,"{'1': [0.2, 1.0], '2': [0.058611862252036906, 1.0], '3': [0.5164981492119576, 0.901184307613412], '4': [1.0, 0.15867248778285864], '5': [0.0, 0.0]}"
4,383.7683069,"{'1': [0.2, 1.0], '2': [0.0, 0.46208726535516087], '3': [0.36470970956516924, 0.0], '4': [1.0, 0.0], '5': [0.0, 0.20281038993447636]}"
5,506.372074,"{'1': [0.2, 1.0], '2': [0.9576995845911498, 1.0], '3': [0.0, 0.5600935743650957], '4': [1.0, 0.5768067052726037], '5': [0.0, 0.48280710594010223]}"
6,330.7483564,"{'1': [0.2, 1.0], '2': [0.07530863692996037, 1.0], '3': [0.0, 0.0], '4': [0.0, 0.5750669800291277], '5': [0.0, 0.0]}"
7,334.3845854,"{'1': [0.2, 1.0], '2': [0.17960141466899443, 1.0], '3': [0.0, 0.0], '4': [1.0, 0.7347771023282057], '5': [1.0, 1.0]}"
8,385.0680648,"{'1': [0.2, 1.0], '2': [1.0, 0.0], '3': [1.0, 1.0], '4': [1.0, 1.0], '5': [0.0, 0.6434776144407882]}"
9,343.9775166,"{'1': [0.2, 1.0], '2': [1.0, 0.0], '3': [0.0, 0.034756771940190334], '4': [1.0, 0.0], '5': [0.0, 1.0]}"
,355.2786435,
