run,rewards,policy
0,379.6413484,"{'1': [0.0, 0.8], '2': [0.9428384129761747, 0.0], '3': [0.0, 0.0], '4': [1.0, 0.046624148049431435], '5': [0.0, 1.0]}"
1,406.6575049,"{'1': [0.0, 0.8], '2': [1.0, 0.0], '3': [0.0, 1.0], '4': [0.0, 0.1494356661774811], '5': [0.0, 1.0]}"
2,304.6211555,"{'1': [0.0, 1.0], '2': [1.0, 1.0], '3': [0.0, 0.7459893881028627], '4': [0.0, 0.0], '5': [0.0, 0.7622944254239491]}"
3,397.7723915,"{'1': [0.0, 0.8], '2': [0.0, 0.0], '3': [0.0, 1.0], '4': [1.0, 0.0], '5': [0.0, 1.0]}"
4,379.014849,"{'1': [0.0, 0.8], '2': [1.0, 0.0], '3': [0.0, 0.0], '4': [0.0, 1.0], '5': [1.0, 0.0]}"
5,346.0393162,"{'1': [0.0, 0.8], '2': [0.6555616426200818, 0.0], '3': [0.0, 1.0], '4': [0.0, 1.0], '5': [1.0, 0.0]}"
6,317.2672004,"{'1': [0.0, 0.8], '2': [1.0, 0.05560734074406615], '3': [0.0, 1.0], '4': [0.26191551201018365, 1.0], '5': [0.665624200833195, 0.0]}"
7,400.9986167,"{'1': [0.0, 1.0], '2': [1.0, 0.0], '3': [0.0, 1.0], '4': [1.0, 0.0], '5': [0.0, 0.0]}"
8,378.3963498,"{'1': [0.0, 0.8], '2': [0.0, 0.0], '3': [0.8418580394309926, 0.0], '4': [0.0, 1.0], '5': [1.0, 0.0]}"
9,394.621213,"{'1': [0.0, 0.8], '2': [1.0, 0.0], '3': [0.0, 1.0], '4': [1.0, 0.0], '5': [0.0, 0.0]}"
,379.3280987,
