run,rewards,policy
0,389.4564914,"{'1': [0.0, 0.8], '2': [0.0, 0.8553095288453026], '3': [0.1226072480974858, 1.0], '4': [1.0, 0.20742792738318783], '5': [0.0, 1.0]}"
1,341.951761,"{'1': [0.0, 0.8], '2': [0.0, 1.0], '3': [1.0, 0.9999070704186318], '4': [0.18962015193823187, 0.0025163249182419967], '5': [0.09941905904930678, 1.0]}"
2,327.4631644,"{'1': [0.0, 0.8], '2': [0.05341193985521851, 1.0], '3': [1.0, 0.0], '4': [0.19125120521507524, 0.14268654907581224], '5': [0.7555183804074256, 0.2565975683321082]}"
3,210.5121948,"{'1': [0.0, 0.8], '2': [0.0, 0.0], '3': [0.0, 0.0], '4': [0.0, 1.0], '5': [0.0, 0.7287753139162632]}"
4,329.0389944,"{'1': [0.0, 0.8], '2': [1.0, 0.0], '3': [0.4967224954779934, 0.7717265720427116], '4': [0.0, 1.0], '5': [0.0, 1.0]}"
5,505.7711413,"{'1': [0.0, 0.8], '2': [1.0, 0.0], '3': [0.0, 1.0], '4': [1.0, 0.0], '5': [1.0, 0.8478484235316277]}"
6,332.6065147,"{'1': [0.0, 0.8], '2': [0.0, 0.0], '3': [0.0, 1.0], '4': [0.0, 1.0], '5': [1.0, 1.0]}"
7,291.7954034,"{'1': [0.0, 0.8], '2': [0.0, 1.0], '3': [1.0, 0.0], '4': [0.2131260167138066, 0.20893928620648086], '5': [0.0, 0.4059395679971349]}"
8,311.6479784,"{'1': [0.0, 0.8], '2': [0.0, 0.0], '3': [0.11743173215824734, 1.0], '4': [0.5913165310031931, 0.0], '5': [0.0, 1.0]}"
9,440.268469,"{'1': [0.0, 0.8], '2': [1.0, 0.0], '3': [0.0, 1.0], '4': [1.0, 0.0], '5': [0.8015947962531165, 0.6610774115374007]}"
,330.8227546,
