policy,rewards,run
"{'1': [0.0, 1.0], '2': [0.7, 0.4], '3': [0.3, 0.0], '4': [0.6, 0.3], '5': [0.1, 0.4]}",325.1794715553017,0
"{'1': [0.0, 1.0], '2': [1.0, 0.4], '3': [0.5, 0.6], '4': [0.7, 0.3], '5': [0.1, 0.4]}",353.2800451295461,1
"{'1': [0.0, 1.0], '2': [1.0, 0.1], '3': [1.0, 0.7], '4': [1.0, 1.0], '5': [0.1, 0.4]}",341.3540712779809,2
"{'1': [0.3, 0.8], '2': [0.7, 0.1], '3': [1.0, 0.0], '4': [0.4, 0.3], '5': [0.1, 0.4]}",281.9153242585994,3
"{'1': [0.3, 1.0], '2': [0.3, 0.5], '3': [0.5, 0.7], '4': [1.0, 0.7], '5': [0.1, 0.4]}",472.0634803438669,4
"{'1': [0.3, 1.0], '2': [0.2, 0.7], '3': [0.5, 0.7], '4': [0.5, 1.0], '5': [0.1, 0.4]}",285.00653986729964,5
"{'1': [0.3, 1.0], '2': [0.2, 0.6], '3': [0.2, 0.7], '4': [0.7, 0.2], '5': [0.5, 0.1]}",237.14987760542968,6
"{'1': [0.3, 1.0], '2': [0.3, 0.9], '3': [0.5, 0.7], '4': [0.8, 1.0], '5': [0.5, 0.1]}",262.3477852619445,7
"{'1': [0.3, 1.0], '2': [0.0, 0.6], '3': [0.7, 0.9], '4': [0.4, 0.1], '5': [0.1, 0.5]}",449.3546095451725,8
"{'1': [0.3, 1.0], '2': [0.9, 0.4], '3': [0.5, 0.7], '4': [1.0, 0.9], '5': [0.1, 0.5]}",465.8933458532954,9
