policy,rewards,run
"{'1': [0.0, 1.0], '2': [0.8, 0.0], '3': [0.6, 0.6], '4': [0.4, 0.0], '5': [0.0, 0.6]}",274.4604027799032,0
"{'1': [0.0, 1.0], '2': [0.6, 1.0], '3': [0.8, 0.2], '4': [0.0, 0.4], '5': [0.0, 0.6]}",234.57583287250247,1
"{'1': [0.2, 1.0], '2': [0.4, 0.0], '3': [0.4, 0.2], '4': [0.8, 0.8], '5': [0.0, 0.0]}",397.23544577397433,2
"{'1': [0.2, 1.0], '2': [0.8, 1.0], '3': [0.0, 0.6], '4': [0.6, 0.2], '5': [0.0, 0.6]}",436.9210713969886,3
"{'1': [0.2, 1.0], '2': [0.6, 0.6], '3': [0.2, 0.0], '4': [1.0, 0.0], '5': [0.0, 0.6]}",451.80080828211027,4
"{'1': [0.2, 1.0], '2': [0.6, 0.0], '3': [0.6, 1.0], '4': [0.8, 0.0], '5': [0.0, 0.6]}",483.8269700114184,5
"{'1': [0.2, 1.0], '2': [0.8, 1.0], '3': [0.4, 0.6], '4': [1.0, 0.4], '5': [0.0, 0.4]}",524.8212754682554,6
"{'1': [0.2, 1.0], '2': [0.4, 0.4], '3': [0.2, 0.6], '4': [0.6, 0.0], '5': [0.0, 0.4]}",530.1417252884252,7
"{'1': [0.2, 1.0], '2': [0.6, 1.0], '3': [0.0, 1.0], '4': [0.6, 0.2], '5': [0.0, 0.4]}",527.6115259230855,8
,-inf,9
