policy,rewards,run
"{'0': [0.2, 1.0], '1': [0.8, 0.0], '2': [0.0, 0.2], '3': [0.2, 1.0], '4': [1.0, 0.4]}",342.28805139367455,0
"{'0': [0.2, 1.0], '1': [0.2, 0.8], '2': [0.2, 0.6], '3': [1.0, 0.2], '4': [0.0, 0.4]}",510.02264500438633,1
"{'0': [0.2, 1.0], '1': [0.8, 0.2], '2': [0.6, 0.8], '3': [0.2, 0.0], '4': [0.6, 0.6]}",,2
"{'0': [0.2, 1.0], '1': [1.0, 0.6], '2': [0.0, 0.6], '3': [1.0, 0.2], '4': [0.8, 0.2]}",,3
"{'0': [0.2, 1.0], '1': [1.0, 0.0], '2': [0.2, 0.6], '3': [0.2, 0.8], '4': [0.0, 0.6]}",479.73410074908264,4
"{'0': [0.2, 1.0], '1': [1.0, 0.2], '2': [0.6, 0.8], '3': [0.2, 0.6], '4': [0.2, 0.2]}",343.3192183881481,5
"{'0': [0.2, 1.0], '1': [0.2, 0.8], '2': [0.4, 0.0], '3': [0.0, 0.4], '4': [0.0, 0.6]}",525.4752839606285,6
"{'0': [0.2, 1.0], '1': [0.4, 1.0], '2': [0.0, 0.0], '3': [0.0, 0.4], '4': [0.0, 0.6]}",467.42216864281465,7
"{'0': [0.2, 1.0], '1': [0.8, 0.0], '2': [0.2, 0.4], '3': [0.8, 1.0], '4': [0.8, 0.0]}",,8
"{'0': [0.2, 1.0], '1': [1.0, 0.8], '2': [0.2, 0.4], '3': [0.0, 0.4], '4': [0.0, 0.6]}",440.20575421222037,9
