policy,rewards,run
"{'0': [0.2, 1.0], '1': [0.1, 0.4], '2': [0.6, 0.7], '3': [0.0, 0.0], '4': [0.0, 0.0]}",361.5267059809749,0
"{'0': [0.2, 1.0], '1': [0.5, 0.2], '2': [0.4, 0.4], '3': [0.0, 0.0], '4': [0.0, 0.0]}",314.6083687594794,1
"{'0': [0.2, 1.0], '1': [1.0, 0.5], '2': [0.8, 0.7], '3': [0.0, 0.0], '4': [0.0, 0.0]}",385.00376279357016,2
"{'0': [0.2, 1.0], '1': [0.4, 0.6], '2': [0.7, 0.7], '3': [0.0, 0.0], '4': [0.0, 0.0]}",388.38660965081004,3
"{'0': [0.2, 1.0], '1': [0.9, 0.0], '2': [0.6, 0.8], '3': [0.0, 0.0], '4': [0.0, 0.0]}",355.8185822405998,4
"{'0': [0.2, 1.0], '1': [1.0, 0.3], '2': [0.7, 1.0], '3': [0.0, 0.0], '4': [0.0, 0.0]}",343.2308900358847,5
"{'0': [0.2, 1.0], '1': [0.0, 0.3], '2': [0.2, 0.4], '3': [0.0, 0.0], '4': [0.0, 0.0]}",340.775694735116,6
"{'0': [0.2, 1.0], '1': [0.5, 0.3], '2': [0.0, 0.1], '3': [0.0, 0.0], '4': [0.0, 0.0]}",394.90268584218626,7
"{'0': [0.2, 1.0], '1': [0.4, 0.3], '2': [0.2, 0.4], '3': [0.0, 0.0], '4': [0.0, 0.0]}",355.02703140849627,8
"{'0': [0.2, 1.0], '1': [0.2, 0.8], '2': [0.0, 0.3], '3': [0.0, 0.0], '4': [0.0, 0.0]}",344.15260416311946,9
