policy,rewards,run,,
"{'4': [0.9, 0.8], '3': [0.9, 0.8], '1': [0.0, 0.1], '2': [0.9, 0.8], '5': [0.9, 0.8]}",19.03214949,0,,167.9549437
"{'4': [0.8, 0.9], '3': [0.8, 0.9], '1': [0.3, 1.0], '2': [0.8, 0.9], '5': [0.8, 0.9]}",214.1552456,1,,
"{'4': [0.3, 0.9], '3': [0.0, 0.7], '1': [0.3, 0.9], '2': [1.0, 0.0], '5': [0.4, 0.3]}",210.2004107,2,,
"{'4': [0.2, 1.0], '3': [0.2, 1.0], '1': [0.2, 1.0], '2': [0.2, 1.0], '5': [0.2, 1.0]}",342.0465316,3,,
"{'4': [0.1, 0.4], '3': [0.1, 0.4], '1': [0.3, 1.0], '2': [0.1, 0.4], '5': [0.1, 0.4]}",447.9993336,4,,
"{'4': [0.1, 0.9], '3': [0.1, 0.9], '1': [0.1, 0.9], '2': [0.1, 0.9], '5': [0.1, 0.9]}",83.54101982,5,,
"{'4': [1.0, 1.0], '3': [0.4, 0.8], '1': [0.5, 1.0], '2': [0.9, 0.7], '5': [1.0, 1.0]}",125.7094767,6,,
"{'4': [0.8, 0.2], '3': [0.7, 0.2], '1': [0.3, 0.9], '2': [0.8, 0.2], '5': [0.1, 0.6]}",373.624904,7,,
"{'4': [0.1, 0.8], '3': [0.1, 0.8], '1': [0.8, 0.0], '2': [0.1, 0.8], '5': [0.1, 0.8]}",16.05203039,8,,
"{'4': [0.3, 0.8], '3': [0.3, 0.8], '1': [0.3, 0.8], '2': [0.3, 0.8], '5': [0.3, 0.8]}",74.68548586,9,,
