policy,rewards,run,,
"{'3': [0.4, 0.1], '2': [0.4, 0.1], '5': [0.4, 0.1], '4': [0.4, 0.1], '1': [0.4, 0.1]}",-27.63985163,0,,217.0426401
"{'3': [1.0, 0.5], '2': [0.7, 0.5], '5': [0.5, 0.3], '4': [0.7, 0.5], '1': [0.1, 1.0]}",123.8068444,1,,
"{'3': [0.0, 0.7], '2': [0.0, 0.1], '5': [0.2, 0.5], '4': [0.5, 0.9], '1': [1.0, 0.7]}",204.5294757,2,,
"{'3': [0.3, 0.8], '2': [0.3, 0.1], '5': [0.3, 0.1], '4': [0.3, 1.0], '1': [0.3, 1.0]}",229.5558044,3,,
"{'3': [0.9, 0.6], '2': [0.9, 0.6], '5': [0.9, 0.6], '4': [0.9, 0.6], '1': [0.9, 0.0]}",51.8391558,4,,
"{'3': [0.2, 0.4], '2': [0.3, 0.7], '5': [0.5, 0.8], '4': [0.5, 0.8], '1': [0.3, 1.0]}",234.0476822,5,,
"{'3': [0.9, 0.0], '2': [0.9, 0.0], '5': [0.9, 0.0], '4': [0.9, 0.0], '1': [0.9, 0.0]}",13.50778764,6,,
"{'3': [0.0, 0.0], '2': [0.0, 0.0], '5': [0.0, 0.0], '4': [0.0, 0.0], '1': [0.2, 0.9]}",340.3609923,7,,
"{'3': [1.0, 0.0], '2': [0.2, 0.0], '5': [1.0, 0.0], '4': [0.2, 0.0], '1': [0.3, 0.9]}",234.5405554,8,,
"{'3': [0.5, 0.3], '2': [0.5, 0.3], '5': [0.5, 0.3], '4': [0.5, 0.3], '1': [0.2, 1.0]}",354.1353893,9,,
