policy,rewards,run,,
"{'4': [1.0, 0.5], '2': [1.0, 0.5], '1': [0.0, 1.0], '5': [1.0, 0.5], '3': [1.0, 0.5]}",227.0764219,0,,127.8155786
"{'4': [0.1, 0.2], '2': [0.1, 0.2], '1': [0.1, 0.2], '5': [0.1, 0.2], '3': [0.1, 0.2]}",138.2804618,1,,
"{'4': [0.2, 0.3], '2': [0.9, 0.1], '1': [0.4, 0.4], '5': [0.5, 0.9], '3': [0.5, 0.9]}",145.4358191,2,,
"{'4': [0.3, 0.1], '2': [0.8, 0.1], '1': [0.2, 0.7], '5': [0.7, 0.4], '3': [0.6, 0.8]}",102.5649919,3,,
"{'4': [1.0, 0.0], '2': [0.1, 0.0], '1': [0.6, 0.1], '5': [1.0, 0.0], '3': [0.1, 0.6]}",156.2528061,4,,
"{'4': [0.1, 0.7], '2': [0.1, 0.7], '1': [0.1, 0.7], '5': [0.1, 0.7], '3': [0.1, 0.7]}",118.9767882,5,,
"{'4': [0.4, 0.0], '2': [0.1, 0.3], '1': [0.7, 0.2], '5': [0.8, 0.8], '3': [0.1, 0.3]}",101.7140094,6,,
"{'4': [1.0, 0.4], '2': [0.3, 0.5], '1': [0.6, 0.8], '5': [1.0, 0.4], '3': [0.5, 0.8]}",125.1490335,7,,
"{'4': [0.3, 0.5], '2': [0.9, 1.0], '1': [0.3, 0.5], '5': [0.3, 0.0], '3': [0.0, 0.0]}",97.42390892,8,,
"{'4': [0.0, 0.6], '2': [0.9, 0.6], '1': [0.7, 0.0], '5': [0.3, 0.9], '3': [0.3, 0.5]}",130.4821236,9,,
