policy,rewards,run,,
"{'2': [0.2, 0.3], '5': [0.5, 0.2], '1': [0.5, 0.2], '4': [0.2, 0.3], '3': [0.5, 0.2]}",-15.47740441,0,,32.71513197
"{'2': [0.2, 0.4], '5': [0.2, 0.4], '1': [0.2, 0.4], '4': [0.2, 0.4], '3': [0.5, 0.3]}",-6.296293949,1,,
"{'2': [0.2, 0.9], '5': [0.2, 0.6], '1': [0.2, 0.9], '4': [0.4, 0.1], '3': [0.5, 0.1]}",434.5855591,2,,
"{'2': [0.0, 0.4], '5': [0.0, 0.4], '1': [0.9, 0.0], '4': [0.0, 0.4], '3': [0.5, 0.5]}",76.15676844,3,,
"{'2': [0.4, 0.3], '5': [0.7, 0.8], '1': [0.2, 1.0], '4': [0.7, 0.8], '3': [0.4, 0.2]}",338.6203832,4,,
"{'2': [0.7, 0.7], '5': [1.0, 0.8], '1': [1.0, 0.8], '4': [0.4, 0.2], '3': [0.3, 0.1]}",39.5611134,5,,
"{'2': [0.3, 0.5], '5': [0.3, 0.5], '1': [0.7, 0.5], '4': [0.7, 0.5], '3': [0.3, 0.2]}",0.041015165,6,,
"{'2': [0.0, 0.2], '5': [0.0, 0.2], '1': [0.5, 0.1], '4': [0.0, 0.2], '3': [0.0, 0.2]}",25.86915053,7,,
"{'2': [0.3, 0.5], '5': [0.3, 0.5], '1': [0.5, 1.0], '4': [0.2, 0.6], '3': [0.2, 0.6]}",119.4742285,8,,
"{'2': [0.3, 0.1], '5': [0.6, 0.0], '1': [0.5, 0.4], '4': [0.6, 0.0], '3': [0.6, 0.0]}",-68.91809111,9,,
