policy,rewards,run,,
"{'3': [0.8, 0.0], '5': [0.0, 0.3], '2': [0.8, 0.0], '1': [0.4, 0.9], '4': [0.8, 0.0]}",221.5149046,0,,225.1167847
"{'3': [0.4, 0.8], '5': [0.0, 0.1], '2': [0.2, 1.0], '1': [0.2, 1.0], '4': [0.4, 0.2]}",301.9049605,1,,
"{'3': [0.2, 1.0], '5': [0.0, 0.5], '2': [0.2, 1.0], '1': [0.2, 1.0], '4': [1.0, 0.7]}",542.4767265,2,,
"{'3': [0.4, 0.1], '5': [0.1, 0.6], '2': [0.5, 0.8], '1': [0.9, 0.2], '4': [0.8, 1.0]}",228.7186648,3,,
"{'3': [0.7, 0.5], '5': [0.3, 1.0], '2': [0.3, 1.0], '1': [0.5, 0.2], '4': [0.3, 1.0]}",10.91066914,4,,
"{'3': [0.3, 0.4], '5': [0.2, 0.3], '2': [0.3, 0.4], '1': [0.2, 0.3], '4': [0.3, 0.4]}",122.5845502,5,,
"{'3': [0.0, 0.9], '5': [0.0, 0.4], '2': [0.9, 0.1], '1': [0.9, 0.0], '4': [0.6, 0.5]}",256.19097,6,,
"{'3': [0.4, 1.0], '5': [0.2, 1.0], '2': [0.2, 1.0], '1': [0.5, 0.0], '4': [0.5, 0.0]}",-18.48153423,7,,
"{'3': [0.0, 0.2], '5': [0.0, 0.2], '2': [0.0, 0.2], '1': [0.2, 1.0], '4': [0.0, 0.2]}",405.2470397,8,,
"{'3': [0.6, 0.0], '5': [0.8, 0.4], '2': [0.6, 0.0], '1': [0.9, 0.4], '4': [0.7, 0.0]}",-14.62521406,9,,
