policy,rewards,run,,
"{'1': [0.2, 1.0], '3': [1.0, 0.5], '4': [1.0, 0.5], '5': [1.0, 0.5], '2': [1.0, 0.5]}",178.9067854,0,,193.0412565
"{'1': [0.2, 1.0], '3': [0.8, 0.2], '4': [0.2, 1.0], '5': [0.2, 1.0], '2': [0.2, 1.0]}",207.5056564,1,,
"{'1': [1.0, 0.1], '3': [0.0, 0.2], '4': [0.1, 1.0], '5': [1.0, 0.1], '2': [0.2, 1.0]}",262.5861505,2,,
"{'1': [0.7, 1.0], '3': [0.2, 0.2], '4': [0.1, 0.1], '5': [0.2, 0.2], '2': [0.7, 0.4]}",30.822191,3,,
"{'1': [0.7, 0.3], '3': [0.3, 0.8], '4': [1.0, 0.2], '5': [0.6, 0.5], '2': [1.0, 0.2]}",17.41190959,4,,
"{'1': [0.2, 1.0], '3': [0.2, 1.0], '4': [0.6, 0.3], '5': [0.9, 0.6], '2': [0.8, 0.0]}",250.6163578,5,,
"{'1': [0.0, 1.0], '3': [0.0, 1.0], '4': [0.7, 0.1], '5': [0.0, 1.0], '2': [0.0, 1.0]}",234.4259318,6,,
"{'1': [0.2, 1.0], '3': [0.2, 1.0], '4': [0.8, 0.3], '5': [0.2, 1.0], '2': [0.3, 0.4]}",179.0686737,7,,
"{'1': [0.1, 0.0], '3': [1.0, 0.2], '4': [1.0, 0.4], '5': [0.3, 0.3], '2': [1.0, 0.4]}",151.058425,8,,
"{'1': [0.2, 1.0], '3': [0.9, 0.8], '4': [0.9, 0.8], '5': [0.2, 1.0], '2': [0.9, 0.8]}",207.0138393,9,,
