policy,rewards,run,,
"{'4': [0.2, 1.0], '3': [0.9, 0.4], '2': [0.9, 0.4], '1': [0.2, 1.0], '5': [0.6, 0.2]}",178.1911405,0,,187.2085344
"{'4': [0.6, 0.1], '3': [0.1, 1.0], '2': [0.4, 0.4], '1': [1.0, 0.4], '5': [0.1, 1.0]}",217.9805779,1,,
"{'4': [0.9, 0.0], '3': [0.0, 0.4], '2': [0.5, 0.6], '1': [0.1, 0.0], '5': [0.1, 0.9]}",223.3958695,2,,
"{'4': [0.1, 1.0], '3': [0.8, 0.0], '2': [0.0, 0.2], '1': [0.5, 0.5], '5': [0.2, 0.8]}",190.5475018,3,,
"{'4': [1.0, 0.4], '3': [0.2, 1.0], '2': [1.0, 0.4], '1': [0.7, 0.0], '5': [0.7, 0.0]}",183.8695671,4,,
"{'4': [0.1, 0.9], '3': [0.0, 0.8], '2': [0.9, 1.0], '1': [0.7, 0.1], '5': [0.1, 0.9]}",101.0883636,5,,
"{'4': [1.0, 0.6], '3': [0.2, 1.0], '2': [1.0, 0.6], '1': [0.2, 1.0], '5': [1.0, 0.6]}",223.7691212,6,,
"{'4': [1.0, 0.7], '3': [0.2, 1.0], '2': [0.8, 0.3], '1': [0.2, 1.0], '5': [0.2, 1.0]}",220.9747168,7,,
"{'4': [0.5, 1.0], '3': [0.5, 1.0], '2': [0.2, 1.0], '1': [0.5, 1.0], '5': [0.5, 1.0]}",41.51572098,8,,
"{'4': [0.1, 0.2], '3': [0.9, 0.4], '2': [0.9, 1.0], '1': [0.2, 1.0], '5': [0.9, 0.4]}",183.6267733,9,,
