policy,rewards,run,,
"{'5': [0.45777517557144165, 0.0], '1': [0.13750571012496948, 1.0], '4': [0.8715243339538574, 0.0], '2': [0.43617308139801025, 0.0], '3': [0.0, 0.0]}",334.597305,0,,138.7522784
"{'5': [0.3715265393257141, 0.0], '1': [0.1810608059167862, 1.0], '4': [0.7442712783813477, 0.0], '2': [0.5338996052742004, 0.010207019746303558], '3': [0.0, 0.0]}",342.6485553,1,,
"{'5': [1.0, 0.9082313179969788], '1': [0.0, 1.0], '4': [1.0, 0.0], '2': [0.307552695274353, 0.99751216173172], '3': [0.5083581805229187, 0.0]}",128.5970086,2,,
"{'5': [1.0, 0.0], '1': [1.0, 0.0], '4': [1.0, 0.782008945941925], '2': [1.0, 0.0], '3': [0.2800375819206238, 0.5013965964317322]}",36.78382967,3,,
"{'5': [0.0, 0.7237114906311035], '1': [0.0, 0.0], '4': [0.8364404439926147, 0.0], '2': [0.0, 0.5421664118766785], '3': [0.3737480044364929, 0.72373366355896]}",148.9075481,4,,
"{'5': [0.0, 0.0], '1': [0.0, 1.0], '4': [0.0, 0.0], '2': [0.46543604135513306, 0.09118738770484924], '3': [0.6054902076721191, 0.0]}",85.66342369,5,,
"{'5': [0.8703309297561646, 1.0], '1': [0.2608180642127991, 0.8968285322189331], '4': [1.0, 1.0], '2': [0.35282981395721436, 0.6840146780014038], '3': [0.0, 0.48935770988464355]}",233.6730464,6,,
"{'5': [0.0, 0.0], '1': [0.0, 0.0], '4': [0.0, 0.4732499122619629], '2': [0.0, 0.0], '3': [0.0, 0.0]}",98.9265553,7,,
"{'5': [0.0, 0.6221631765365601], '1': [0.0, 0.12615294754505157], '4': [0.0, 0.8135071396827698], '2': [0.0, 0.0], '3': [0.0, 0.0]}",175.7982378,8,,
"{'5': [0.0, 0.5951186418533325], '1': [0.0, 1.0], '4': [0.0, 0.6142892837524414], '2': [1.0, 0.12870976328849792], '3': [0.5000392198562622, 0.567407488822937]}",104.1177109,9,,
