policy,rewards,run,,
"{'5': [0.0, 0.5286445021629333], '1': [1.0, 0.10303513705730438], '4': [0.0, 1.0], '2': [1.0, 0.18222036957740784], '3': [0.0, 1.0]}",201.697981,0,,156.8230588
"{'5': [0.0, 1.0], '1': [0.129827082157135, 1.0], '4': [0.0, 1.0], '2': [0.0, 0.45677924156188965], '3': [0.0, 1.0]}",270.2734235,1,,
"{'5': [0.0, 0.0], '1': [0.02321041375398636, 0.0], '4': [1.0, 0.0], '2': [0.0, 0.0], '3': [0.7142148017883301, 0.0]}",38.40489008,2,,
"{'5': [0.0, 0.47132107615470886], '1': [1.0, 1.0], '4': [1.0, 1.0], '2': [0.8603781461715698, 0.0], '3': [0.773739218711853, 0.2853529453277588]}",228.6851396,3,,
"{'5': [0.0, 0.664431095123291], '1': [0.0, 0.0], '4': [1.0, 1.0], '2': [0.0, 0.8396767973899841], '3': [0.0, 0.0]}",127.2166679,4,,
"{'5': [0.07299947738647461, 0.6082499027252197], '1': [0.24275198578834534, 0.32852739095687866], '4': [0.0, 0.6506914496421814], '2': [0.4898529648780823, 0.0], '3': [0.5008254647254944, 0.21510683000087738]}",192.3028333,5,,
"{'5': [0.0, 0.5403634905815125], '1': [0.0, 0.4522450864315033], '4': [0.0, 0.9015730619430542], '2': [0.0, 0.0], '3': [0.24395787715911865, 0.561690092086792]}",186.4294496,6,,
"{'5': [0.0, 0.0], '1': [0.0, 0.0], '4': [0.0, 0.0], '2': [0.0, 0.0], '3': [0.8954751491546631, 0.0]}",25.32691368,7,,
"{'5': [0.7909766435623169, 0.0], '1': [0.0, 0.05189049243927002], '4': [1.0, 0.015781760215759277], '2': [0.4219558537006378, 0.9397845268249512], '3': [0.6474249362945557, 0.08355093002319336]}",23.36008208,8,,
"{'5': [0.0, 0.6371220946311951], '1': [0.0, 0.0], '4': [0.0, 1.0], '2': [0.5405285358428955, 0.7579102516174316], '3': [0.0790381133556366, 1.0]}",110.5147725,9,,
