policy,rewards,run,,
"{'3': [0.38575825095176697, 0.6260694265365601], '2': [0.2657521367073059, 0.25623077154159546], '5': [0.0, 1.0], '4': [0.0, 0.18491500616073608], '1': [1.0, 0.40214431285858154]}",288.3027049,0,,282.0290934
"{'3': [1.0, 0.29904991388320923], '2': [0.006299138069152832, 1.0], '5': [1.0, 1.0], '4': [0.0, 1.0], '1': [1.0, 0.0]}",461.8799444,1,,
"{'3': [0.47450706362724304, 1.0], '2': [0.9171532988548279, 0.0], '5': [1.0, 1.0], '4': [1.0, 0.8507375717163086], '1': [0.0, 0.9670407176017761]}",337.8846976,2,,
"{'3': [0.6418691873550415, 0.0], '2': [1.0, 0.0], '5': [0.8270465135574341, 0.07592278718948364], '4': [1.0, 0.0], '1': [0.0, 0.9367088079452515]}",201.1898876,3,,
"{'3': [0.8115198016166687, 0.0], '2': [0.0, 0.0], '5': [1.0, 0.5212352275848389], '4': [0.0076906681060791016, 0.5351738929748535], '1': [0.0, 0.0]}",107.7547913,4,,
"{'3': [0.0, 1.0], '2': [0.5805027484893799, 0.0], '5': [1.0, 1.0], '4': [0.0, 0.5869360566139221], '1': [0.0, 1.0]}",285.2905509,5,,
"{'3': [0.0, 0.9370725750923157], '2': [0.0, 0.0], '5': [0.0, 0.0], '4': [0.0, 0.0], '1': [0.0, 0.5707844495773315]}",119.9506084,6,,
"{'3': [0.013238638639450073, 1.0], '2': [0.0, 0.10511255264282227], '5': [0.406101256608963, 1.0], '4': [1.0, 0.0], '1': [0.13757045567035675, 0.2890736162662506]}",282.0290934,7,,
"{'3': [0.0, 0.0], '2': [1.0, 0.0], '5': [1.0, 0.0], '4': [0.0, 0.0], '1': [0.0, 0.0]}",,8,,
"{'3': [0.0, 0.06539487838745117], '2': [0.0, 0.0], '5': [0.0, 0.9988132119178772], '4': [0.0, 1.0], '1': [0.28433409333229065, 0.0]}",96.3690364,9,,
